Team 1;Team 2;Team 1 win?;blue side;date;Event;rooster 1;rooster 2;ID;relevance;comment;x
SHC XD;Millenium;1;1;14/8/2014;EU Summer Playoffs 2014 - 5th Place Match;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;kev1n,Kottenx,Kerp,Creaton,Jree;1;1;game 1,bo5;x
SHC XD;Millenium;1;2;14/8/2014;EU Summer Playoffs 2014 - 5th Place Match;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;kev1n,Kottenx,Kerp,Creaton,Jree;2;1;game 2,bo5;x
SHC XD;Millenium;1;1;14/8/2014;EU Summer Playoffs 2014 - 5th Place Match;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;kev1n,Kottenx,Kerp,Creaton,Jree;3;1;game 3,bo5;x
SHC XD;ROCCAT;0;1;7/8/2014;EU Summer Playoffs 2014 - Quarterfinals;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;Xaxus,Jankos,Overpow,Calaver,VandeR;4;1;game 1,bo5;x
SHC XD;ROCCAT;0;2;7/8/2014;EU Summer Playoffs 2014 - Quarterfinals;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;Xaxus,Jankos,Overpow,Calaver,VandeR;5;1;game 2,bo5;x
SHC XD;ROCCAT;1;1;7/8/2014;EU Summer Playoffs 2014 - Quarterfinals;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;Xaxus,Jankos,Overpow,Calaver,VandeR;6;1;game 3,bo5;x
SHC XD;ROCCAT;0;2;7/8/2014;EU Summer Playoffs 2014 - Quarterfinals;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;Xaxus,Jankos,Overpow,Calaver,VandeR;7;1;game 4,bo5;x
SK Gaming;Millenium;1;1;8/8/2014;EU Summer Playoffs 2014 - Quarterfinals;fredy122,Svenskeren,Jesiz,Candy Panda,nRated;kev1n,Kottenx,Kerp,Creaton,Jree;8;1;game 1,bo5;x
SK Gaming;Millenium;1;1;8/8/2014;EU Summer Playoffs 2014 - Quarterfinals;fredy122,Svenskeren,Jesiz,Candy Panda,nRated;kev1n,Kottenx,Kerp,Creaton,Jree;9;1;game 2,bo5;x
SK Gaming;Millenium;1;1;8/8/2014;EU Summer Playoffs 2014 - Quarterfinals;fredy122,Svenskeren,Jesiz,Candy Panda,nRated;kev1n,Kottenx,Kerp,Creaton,Jree;10;1;game 3,bo5;x
Gambit;Copenhagen Wolves;1;1;29/7/2014;EU Summer Season 2014 - Week 11;Darien,Diamondprox,NiQ,Genja,Edward;YoungBuck,Airwaks,cowTard,Woolite,Unlimited;11;1;;x
ROCCAT;Alliance;0;1;29/7/2014;EU Summer Season 2014 - Week 11;Xaxus,Jankos,Overpow,Calaver,VandeR;Wickd,Shook,Froggen,Tabzz,Nyph;12;1;;x
Copenhagen Wolves;Fnatic;0;1;29/7/2014;EU Summer Season 2014 - Week 11;YoungBuck,Airwaks,cowTard,Woolite,Unlimited;sOAZ,Cyanide,sPeke,Rekkles,YellOwStaR;13;1;;x
Millenium;SK Gaming;0;1;29/7/2014;EU Summer Season 2014 - Week 11;kev1n,Kottenx,Kerp,Creaton,Jree;fredy122,Svenskeren,Jesiz,Candy Panda,nRated;14;1;;x
Fnatic;SHC XD;1;1;29/7/2014;EU Summer Season 2014 - Week 11;sOAZ,Cyanide,sPeke,Rekkles,YellOwStaR;Mimer,Impaler,SELFIE,MrRalleZ,wewillfailer;15;1;;x
ROCCAT;SHC XD;1;1;30/7/2014;EU Summer Season 2014 - Week 11;Xaxus,Jankos,Overpow,Calaver,VandeR;Mimer,Impaler,SELFIE,MrRalleZ,wewillfailer;16;1;;x
Alliance;Gambit;1;1;30/7/2014;EU Summer Season 2014 - Week 11;Wickd,Shook,Froggen,Tabzz,Nyph;Darien,Diamondprox,NiQ,Genja,Edward;17;1;;x
ROCCAT;Copenhagen Wolves;0;1;30/7/2014;EU Summer Season 2014 - Week 11;Xaxus,Jankos,Overpow,Calaver,VandeR;YoungBuck,Airwaks,cowTard,Woolite,Unlimited;18;1;;x
SK Gaming;Alliance;1;1;30/7/2014;EU Summer Season 2014 - Week 11;fredy122,Svenskeren,Jesiz,Candy Panda,nRated;Wickd,Shook,Froggen,Tabzz,Nyph;19;1;;x
Gambit;Millenium;1;1;30/7/2014;EU Summer Season 2014 - Week 11;Darien,Diamondprox,NiQ,Genja,Edward;kev1n,Kottenx,Kerp,Creaton,Jree;20;1;;x
SK Gaming;Fnatic;1;1;30/7/2014;EU Summer Season 2014 - Week 11;fredy122,Svenskeren,Jesiz,Candy Panda,nRated;sOAZ,Cyanide,sPeke,Rekkles,YellOwStaR;21;1;;x
Gambit;SK Gaming;1;1;31/7/2014;EU Summer Season 2014 - Week 11;Darien,Diamondprox,NiQ,Genja,Edward;fredy122,Svenskeren,Jesiz,Candy Panda,nRated;22;1;;x
SHC XD;Millenium;1;1;31/7/2014;EU Summer Season 2014 - Week 11;Mimer,Impaler,SELFIE,MrRalleZ,wewillfailer;kev1n,Kottenx,Kerp,Creaton,Jree;23;1;;x
Fnatic;ROCCAT;1;1;31/7/2014;EU Summer Season 2014 - Week 11;sOAZ,Cyanide,sPeke,Rekkles,YellOwStaR;Xaxus,Jankos,Overpow,Calaver,VandeR;24;1;;x
