blue advantage;54.8813980092;
n Data;name;elo;
3;WG;-228.867532889;;
35;WE;68.7916738664;;
6;Denial;-471.921593493;;
7;Stealths;473.782559233;;
45;SF5;-394.526905264;;
0;Necrofantasian;0.0;;
12;Machi;-635.963440528;;
17;SAJ;-509.640016741;;
11;G2;-746.978548012;;
0;Shantao MW;0.0;;
10;Reason;-775.020889007;;
22;KT Arrows;717.636914824;;
13;UoL;-565.644295662;;
17;SKT T1 S;640.950050045;;
4;CJ Frost;528.060547672;;
0;Rampage;0.0;;
49;Star Horn Royal Club;247.417317217;;
0;Skyline;0.0;;
0;To be Decided;0.0;;
9;TPS;-461.974499754;;
0;y so;0.0;;
72;Alliance;376.705617607;;
18;SG Blue;820.28064543;;
42;vVv;-315.051659866;;
11;7w Lyon;-332.92274076;;
6;IPT;-155.618532579;;
0;FFG;0.0;;
74;Copenhagen Wolves;105.89569972;;
3;vVv White;-605.161262185;;
6;Falcons;471.360331458;;
7;DTG;111.913579208;;
0;neXt;0.0;;
0;Invaders;0.0;;
0;Thunderbot Sparta;0.0;;
0;HB;0.0;;
21;Email;-383.51566098;;
8;CJ Blaze;395.719347434;;
31;XDG;-126.357810294;;
3;The Time Police;54.5154629729;;
15;iSR;-556.39502894;;
0;B. Miracle;0.0;;
3;TCM;-467.107942206;;
16;log F;-362.613160174;;
10;MLE;-587.478828495;;
4;iSL;-38.2861759978;;
13;yoe.FW;-371.273651537;;
93;Fnatic;322.075433534;;
28;WE Acad;-68.778823918;;
83;C;-5.06277028487;;
76;Team SoloMid;187.217082837;;
55;EG;-6.08994992145;;
18;SK Prime;-431.158451916;;
0;Zenith eSports;0.0;;
59;coL;-17.0548205096;;
0;ANG;0.0;;
104;Team Curse;61.6020159275;;
23;Full Louis;-358.722946442;;
12;Wargods;-697.205275343;;
16;KT Bullets;408.237751921;;
25;TBD;-39.9797319953;;
5;Lyon;-276.561138982;;
0;4everzenzyg;0.0;;
8;coL.Red;-497.01611777;;
0;RED;0.0;;
24;ahq;-221.742722617;;
59;COG;-500.655730814;;
0;ISG;0.0;;
0;Immunity;0.0;;
0;RPE Eclipse;0.0;;
0;Area of Effect;0.0;;
26;ggLA;-283.870061684;;
78;C9;233.426252505;;
6;BKT;154.509764685;;
21;NJWS;752.622629762;;
38;Edward Gaming;288.137248641;;
0;MYM;0.0;;
0;XDG Virtus;0.0;;
75;ROCCAT;219.154261374;;
25;VES;-584.586615646;;
69;CLG;65.6224698444;;
0;NDG;0.0;;
3;prOp;-513.826466999;;
0;KaBuM;0.0;;
29;H2k;-409.321456391;;
74;Gambit;116.129061276;;
75;SK Gaming;273.58190509;;
54;OMG;172.454852151;;
67;LMQ;155.600864262;;
0;Ducks;0.0;;
26;Young Glory;94.8590625242;;
18;SG White;830.659998012;;
25;SKT T1 K;528.207787297;;
3;Pulse Esports;-49.9900529216;;
0;EP.HK;0.0;;
72;Crs Acad;-124.362003247;;
26;NiD;-338.009417622;;
0;No Mercy;0.0;;
25;NiP;-571.613984376;;
28;coL.Black;-95.9995835788;;
0;MKZ;0.0;;
0;DP;0.0;;
69;Team Dignitas;49.0427085513;;
0;GG Call Nash;0.0;;
26;TPA;-4.73941710783;;
10;SGS;-445.658286616;;
0;TT BLUE;0.0;;
0;Denial.EU;0.0;;
0;MiTH FD;0.0;;
19;NJBS;673.82970916;;
0;TGF;0.0;;
63;SHC XD;229.691278924;;
36;iG;52.5746476109;;
67;Millenium;117.148927365;;
39;T8;-29.8662184506;;
20;C9T;-105.628565639;;
44;LoLPro;-311.980597264;;
0;Everfrag;0.0;;
6;IM 2;616.764844592;;
0;Lublin Shore;0.0;;
6;IM 1;516.80285867;;
0;ESC;0.0;;
10;IO;-578.983975674;;
11;STNA;-606.189651124;;
0;Gamania;0.0;;
0;Kappa Team;0.0;;
0;Tricked;0.0;;
42;LGD;89.2723931337;;
0;iS;0.0;;
